agenda:5:hosts,"<strong>Host</strong>: Jack Lewars, <a href='https://www.1fortheworld.org/'>One for the World</a>"
agenda:5:intro,"<strong>Michael Kremer</strong>, University Professor in Economics and the College and the Harris School of Public Policy, Director of the Development Innovation Lab, University of Chicago"
agenda:5:speakers,"<strong>Speaker</strong>: Michael Kremer, University Professor in Economics and the College and the Harris School of Public Policy, Director of the Development Innovation Lab, University of Chicago"
agenda:5:title,Keynote speaker: Nobel Prize winner Professor Michael Kremer
agenda:6:description,"Charlie Bresler, Ph.D., Executive Director of Peter Singer’s The Life You Can Save, will discuss the specific opportunities available to everyone to save lives from the comfort of their own living room. Too good to be true...listen!"
agenda:6:intro,"<strong>Charlie Bresler</strong>, Executive Director, The Life You Can Save"
agenda:6:speakers,"<strong>Speaker</strong>: Charlie Bresler, <a href='https://www.thelifeyoucansave.org/'>The Life You Can Save</a>"
agenda:6:title,How you can make a difference today
agenda:see_into_your_local_time,see in your local time
contact:form:privacy:accept,I have read and accept the treatment of my personal data
contact:form:privacy:read_more,Read more...
contact:form:select_your_country,Select your country
contact:form:submit,Send message
contact:form:submitted_successfully_message,Message sent successfully. We will contact you as soon as possible.
contact:title,Contact us
cookies:box:accept,Accept
cookies:box:link:read_more,Read cookies page for more info
cookies:box:message,This site uses its own and third-party cookies to offer you a better service.
cookies:box:title,Cookies
dialog:body:go_to_homepage,Go to homepage
form:email,Email
form:first_name,First name
form:full_name,Full name
form:i_have_read_and_agree,I have read and accept the privacy statement
form:last_name,Last name
form:message,Message
form:select_option,Select an option
form:subject,Subject
form:submit:error,Error submitting...
form:submit:sending,Sending...
get_involved:au:title,Australia
get_involved:de_at_ch:title,"Germany, Austria & Switzerland"
get_involved:es:title,Spain
get_involved:intro,
get_involved:title,Get involved
get_involved:us_ca_gb:title,"USA, UK, Australia & Canada"
global:image_credit,Credit:
hero:intro,Care about doing good in the world but unsure where to start? Effective Giving Day is here to help you make a difference!
hero:place_date_extra_date,"November 30, 2020"
hero:place_date_extra_place,Free online event
hero:place_date_extra_time,6:45 p.m. CET
hero:register_button,REGISTER NOW
hero:title,Effective Giving Day
link:agenda,Agenda
link:contact,Contact
link:cookies,Cookies
link:get_involved,Get involved
link:home,Home
link:legal,Legal
link:press,Press
link:privacy,privacy
link:read_more,Read more
link:register,Register
link:speakers,Speakers
link:view,view
"newsletter:dialog:body:email_""{0}""_subscribed_ok","Your email ""{0}"" was successfully subscribed"
"newsletter:dialog:body:email_""{0}""_subscribed_previously","Your email ""{0}"" were subscribed previously"
"newsletter:dialog:body:error_adding_email_""{0}"".","There was an error adding your email ""{0}""."
newsletter:dialog:title:newsletter_subscription,Newsletter subscription
newsletter:email:body:click_here_to_verify,Click here to verify your email
newsletter:email:body:verify_your_email,Thank you very much for your interest. We need your email confirmation to finish your subscription.
newsletter:email:subject,Email confirmation (action needed)
newsletter:form:email,Your email
newsletter:form:privacy_accept,I have read and accept the processing of my personal data for the described purpose
newsletter:form:privacy_text,"Your data will be processed by FUNDACIÓN AYUDA EFECTIVA to send you the newsletter and event notifications. You can exercise your rights through the following email info @ ayudaefectiva.org, identifying yourself as a subscriber to the effectivegivingday.org newsletter and specifying your request. For more information about the treatment of your data and your rights, please read the following link:"
newsletter:form:submit,Subscribe
newsletter:form:submitted_successfully_message,Soon you will receive a an email for confirmation. Thank you very much for your registration.
newsletter:link:privacy_clause,privacy clause
newsletter:stay_up_to_date,Stay up to date
press:intro,"We are happy to respond to interview requests, provide quotes or answer questions. Please fill in this form and we will put you in touch with the best press contact for your country or area of interest."
press:title,Press
register:form:donation:question,How much (if anything) do you currently give per year to charities you know are highly effective? (USD)
register:form:familiarity:a_bit_familiar,Somewhat familiar
register:form:familiarity:not_familiar,Not familiar
register:form:familiarity:question,How familiar are you with the effective giving movement?
register:form:familiarity:quite_familiar,Quite familiar
register:form:familiarity:very_familiar,Very familiar
register:form:occupation:other,Other
register:form:occupation:professional,Professional
register:form:occupation:student,Student
register:form:organization,Organization
register:form:organization_title,Title
register:form:privacy_accept,I have read and accept the processing of my personal data for the purposes described
register:form:privacy_clause_link,privacy clause
register:form:privacy_text,"Your data will be treated by FUNDACIÓN AYUDA EFECTIVA to manage your registration, as well as to keep you informed about this and future related events. You can exercise your rights by using the following email address info @ ayudaefectiva.org, identifying yourself as a registered user of the effectivegivingday.org website, and specifying your request. For more information about the treatment of your data, please please read the following link:"
register:form:select_country,Select you country
register:form:select_occupation,Select your occupation
register:form:submit,Register
register:form:submitted_successfully_message,<strong>Thank you for registering!</strong> You you will receive a confirmation email within a few minutes. A few days before the event you will also receive the instructions on how to join it online.
register:form:submitted_successfully_message_event_day,Thank you for registering! The URL to access the event is <a href="https://youtu.be/ih70QEf8Scs">https://youtu.be/ih70QEf8Scs</a>. We have also emailed you this information. We hope you will enjoy the event!
register:intro,"If you would like to attend the Effective Giving Day event on the 28th November, please register by filling in the following form. You will receive a confirmation email and we will send the link to join the event to that same email address a few days before the event."
register:title,Register
"registration:dialog:body:email_""{0}""_confirmed_ok","Email ""{0}"" confirmed successfully."
"registration:dialog:body:email_""{0}""_confirmed_previously","Email ""{0}"" confirmed previously."
registration:dialog:body:error_confirming_your_email.,Error with your email confirmation.
registration:dialog:title:registration_subscription,Registration
registration:email:body:click_here_to_verify,Click here to verify your email
registration:email:body:verify_your_email,Thank you for your interest in Effective Giving Day! <strong>Please confirm your email address to complete your registration</strong>:
registration:email:subject,Please confirm your email address to complete your registration
section:about:title,What is Effective Giving Day
section:about:1:intro,If you're feeling overwhelmed by all of the important problems in the world, and you'd like to make a difference, you're not alone.
section:about:2:intro,Effective Giving Day is designed to help you find causes that need the most support right now, learn how to support them and have a massive impact!
section:about:3:intro,You will also have the chance to hear from special guests about their approach to effective giving, and the newest insights within philanthropy.
section:agenda:intro,"Join us on November 30, 2020 for two hours packed with the latest information on the most effective ways to tackle some of the world’s most pressing problems."
section:agenda:title,Agenda
section:partners:organized_by,Organized by
section:partners:supported_by,With the support of
section:partners:register_button,Register for Effective Giving Day now
section:speakers:intro,section:speakers:intro
section:speakers:see_all_speakers,See all speakers
section:speakers:title,Speakers
section:why:1:title,Can non-profits make a dent on the world’s biggest problems?
section:why:2:title,Are all charities just as good? How can we compare them?
section:why:3:title,I want to give - but how can I decide which charities to support?
section:why:4:title,How can I be sure that my money will have real impact?
section:why:intro,Have you ever wondered how much you can actually improve the world through charitable giving? Our speakers will shed light on the key questions you have to answer if you care about having an impact:
section:why:title,Why you should attend
speakers:1:description,"Professor Michael Kremer is one of the world’s most influential development economists. Prof. Kremer pioneered the use of randomised control trials to measure the impact of interventions and identify practical solutions which can benefit low-income people in developing countries. He has produced some of the most influential research in the field, notably a 20-year study showing the lasting positive effects of school-based deworming programmes, the development of new approaches to water treatment, and a series of studies showing how digitally delivered agricultural advice can cost-effectively improve outcomes for smallholder farmers."
speakers:1:intro,"University Professor in Economics and the College and the Harris School of Public Policy, Director of the Development Innovation Lab, University of Chicago. Nobel Prize winner."
speakers:2:description,<a href='https://www.givewell.org/'>GiveWell</a> is a nonprofit dedicated to finding outstanding giving opportunities and publishing the full details of our analysis to help donors decide where to give.
speakers:2:intro,"GiveWell, Managing Director"
speakers:3:description,<a href='https://animalcharityevaluators.org/'>Animal Charity Evaluators</a> is a non-profit charity evaluator dedicated to finding and promoting the most effective ways to help animals.
speakers:3:intro,"Animal Charity Evaluators, Executive Director"
speakers:4:description,<a href='https://founderspledge.com/'>Founders Pledge</a> is a global community of entrepreneurs with the goal of finding and funding solutions to the world’s most pressing problems.
speakers:4:intro,"Founders Pledge, Climate Lead"
speakers:5:description,<a href='https://www.thelifeyoucansave.org/'>The Life You Can Save</a> makes “smart giving simple” by curating a group of nonprofits that save or improve the most lives per dollar.
speakers:5:intro,"The Life You Can Save, Executive Director"
speakers:6:intro,"RC Forward, Manager of Operations"
speakers:7:description,<a href='https://www.1fortheworld.org/'>One for the World</a> is a movement of people revolutionizing charitable giving to end extreme poverty. Our members pledge 1% of their income to the world's most cost-effective charities.
speakers:7:intro,"One for the World, Executive Director"
speakers:8:description,<a href='https://ayudaefectiva.org/'>Ayuda Efectiva</a> has the mission of developing effective giving in Spain. Their Global Health Fund selects and supports the projects that improve the lives of people living in extreme poverty in the most cost-effective ways.
speakers:8:intro,"Ayuda Efectiva, President"
speakers:9:description,<a href='https://www.effektiv-spenden.org/'>effektiv-spenden.org</a> enables German donors to support some of the worlds most effective charities in a tax deductible way. All our recommendations are vetted by independent experts from around the world.
speakers:9:intro,"effektiv-spenden.org, Executive Director"
